Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
user,Chrome 121.0.0.0,,,07-02-2024 16:18:32,07-02-2024 16:19:14,41.789s,PASSED
,,,,,,,
Test Cases/user/create account,Chrome 121.0.0.0,,,07-02-2024 16:18:33,07-02-2024 16:19:14,41.720s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,07-02-2024 16:18:33,07-02-2024 16:18:34,1.381s,PASSED
navigateToUrl(url),Chrome 121.0.0.0,,,07-02-2024 16:18:34,07-02-2024 16:18:38,4.293s,PASSED
"click(findTestObject(""Object Repository/user/create account (1)/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,07-02-2024 16:18:38,07-02-2024 16:18:43,4.453s,PASSED
"click(findTestObject(""Object Repository/user/create account/Page_Advantage Shopping/a_CREATE NEW ACCOUNT""))",Chrome 121.0.0.0,,,07-02-2024 16:18:43,07-02-2024 16:18:43,0.716s,PASSED
"setText(findTestObject(""Object Repository/user/create account (1)/input__usernameRegisterPage""), ""coba2"")",Chrome 121.0.0.0,,,07-02-2024 16:18:43,07-02-2024 16:18:57,13.365s,PASSED
"setText(findTestObject(""Object Repository/user/create account (1)/input__emailRegisterPage""), ""coba2@gmail.com"")",Chrome 121.0.0.0,,,07-02-2024 16:18:57,07-02-2024 16:18:58,1.093s,PASSED
"setText(findTestObject(""Object Repository/user/create account (1)/input__passwordRegisterPage""), ""Coba2"")",Chrome 121.0.0.0,,,07-02-2024 16:18:58,07-02-2024 16:18:59,1.169s,PASSED
"setText(findTestObject(""Object Repository/user/create account (1)/input__confirm_passwordRegisterPage""), ""Coba2"")",Chrome 121.0.0.0,,,07-02-2024 16:18:59,07-02-2024 16:19:00,1.078s,PASSED
"setText(findTestObject(""Object Repository/user/create account (1)/input_PERSONAL DETAILS_first_nameRegisterPage""), ""coba"")",Chrome 121.0.0.0,,,07-02-2024 16:19:00,07-02-2024 16:19:01,1.173s,PASSED
"setText(findTestObject(""Object Repository/user/create account (1)/input_- Use maximum 30 character_last_nameR_6ef033""), ""coba"")",Chrome 121.0.0.0,,,07-02-2024 16:19:01,07-02-2024 16:19:03,1.176s,PASSED
"setText(findTestObject(""Object Repository/user/create account/Page_Advantage Shopping/input_- Use maximum 30 character_phone_numb_7c938a""), ""081234567890"")",Chrome 121.0.0.0,,,07-02-2024 16:19:03,07-02-2024 16:19:04,1.168s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/user/create account (1)/select_AfganistanAlbaniaAlgeriaAmerican Sam_3cef8a""), ""object:250"", true)",Chrome 121.0.0.0,,,07-02-2024 16:19:04,07-02-2024 16:19:06,2.554s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Checkout  Katalon Shop/input_concat(id(, , select2-billing_country_d3312d""), Keys.chord(ENTER))",Chrome 121.0.0.0,,,07-02-2024 16:19:06,07-02-2024 16:19:07,0.572s,PASSED
"setText(findTestObject(""Object Repository/user/create account (1)/input_Country_cityRegisterPage""), ""jakarta"")",Chrome 121.0.0.0,,,07-02-2024 16:19:07,07-02-2024 16:19:08,1.080s,PASSED
"setText(findTestObject(""Object Repository/user/create account (1)/input_- Use maximum 25 character_addressReg_9e23b3""), ""tebet"")",Chrome 121.0.0.0,,,07-02-2024 16:19:08,07-02-2024 16:19:09,1.162s,PASSED
"setText(findTestObject(""Object Repository/user/create account (1)/input_- Use maximum 50 character_state__pro_272a54""), ""jakarta"")",Chrome 121.0.0.0,,,07-02-2024 16:19:09,07-02-2024 16:19:10,1.170s,PASSED
"setText(findTestObject(""Object Repository/user/create account (1)/input_- Use maximum 10 character_postal_cod_639c2f""), ""12345"")",Chrome 121.0.0.0,,,07-02-2024 16:19:10,07-02-2024 16:19:11,1.152s,PASSED
"click(findTestObject(""Object Repository/user/create account (1)/input_Receive exclusive offers and promotio_5c7450""))",Chrome 121.0.0.0,,,07-02-2024 16:19:11,07-02-2024 16:19:12,0.485s,PASSED
delay(2),Chrome 121.0.0.0,,,07-02-2024 16:19:12,07-02-2024 16:19:14,2.015s,PASSED
"click(findTestObject(""Object Repository/user/create account (1)/button_REGISTER""))",Chrome 121.0.0.0,,,07-02-2024 16:19:14,07-02-2024 16:19:14,0.293s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,07-02-2024 16:19:14,07-02-2024 16:19:14,0.041s,PASSED
